fileno,observation,ucl_alpha_0.01,ucl_alpha_0.02,ucl_alpha_0.12000000000000001,ucl_alpha_0.22,ucl_alpha_0.32000000000000006,ucl_alpha_0.42000000000000004,ucl_alpha_0.52,ucl_alpha_0.6200000000000001,ucl_alpha_0.7200000000000001,ucl_alpha_0.8200000000000001,ucl_alpha_0.92,filename,test_younger,train_younger,difference
11876,147.3835243899091,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,188.9517085225917,11876_BarbaraBouchet_68_f.jpg,1,1,1
11948,147.93983802928017,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,11948_AngelaLansbury_20_f.jpg,1,1,1
11948,147.93983802928017,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,0.7880581708572179,11948_AngelaLansbury_20_f.jpg,1,1,1
11959,150.88645763128488,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,11959_AngelaLansbury_35_f.jpg,1,1,1
11959,150.88645763128488,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,0.6015634416576546,11959_AngelaLansbury_35_f.jpg,1,1,1
11962,65.07203890998017,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,11962_AngelaLansbury_41_f.jpg,0,1,0
11962,65.07203890998017,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,1344.8837016420978,11962_AngelaLansbury_41_f.jpg,0,1,0
11964,152.3906608703246,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,11964_AngelaLansbury_46_f.jpg,1,1,1
11964,152.3906608703246,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,324.89273639269635,11964_AngelaLansbury_46_f.jpg,1,1,1
11971,132.29110912010628,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,11971_AngelaLansbury_60_f.jpg,1,1,1
11971,132.29110912010628,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,3791.4849790416542,11971_AngelaLansbury_60_f.jpg,1,1,1
11977,141.65688591876165,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,11977_AngelaLansbury_67_f.jpg,1,1,1
11977,141.65688591876165,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,212.70154680362884,11977_AngelaLansbury_67_f.jpg,1,1,1
11984,148.5586888350881,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,11984_AngelaLansbury_80_f.jpg,0,1,0
11984,148.5586888350881,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,366.08515375897093,11984_AngelaLansbury_80_f.jpg,0,1,0
11989,157.7334340500147,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,11989_AngelaLansbury_87_f.jpg,1,1,1
11989,157.7334340500147,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,1065.8361410029736,11989_AngelaLansbury_87_f.jpg,1,1,1
12024,126.04028115850656,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,12024_DebbieReynolds_24_f.jpg,0,1,0
12024,126.04028115850656,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,825.6097736223372,12024_DebbieReynolds_24_f.jpg,0,1,0
12045,158.81650622758843,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,12045_DebbieReynolds_69_f.jpg,1,1,1
12045,158.81650622758843,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,865.3187214941867,12045_DebbieReynolds_69_f.jpg,1,1,1
12055,139.3640489932693,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,12055_DebbieReynolds_78_f.jpg,1,1,1
